area sembrada,area cosechada,produccion,cultivo,PERIODO,rendimiento,municipio,prediccion
23,19,25,ARVEJA,2014A,1.3,BUENAVISTA,1.31625
20,20,24,ARVEJA,2014A,1.2,TUNJA,1.198
18,18,25,ARVEJA,2014A,1.38,SOTAQUIRA,1.39125
8,5,9,ARVEJA,2014A,1.72,SANTA SOFIA,1.645
5,5,6,ARVEJA,2014A,1.16,ZETAQUIRA,1.2
3,3,3,ARVEJA,2014A,0.96,LA CAPILLA,1.015
3,3,3,ARVEJA,2014A,0.95,PISBA,1.015
2,2,2,ARVEJA,2014A,0.86,SOATA,0.94
240,240,479,ARVEJA,2014B,1.99,SAMACA,1.614
132,132,123,ARVEJA,2014B,0.93,SABOYA,1.075
120,120,188,ARVEJA,2014B,1.57,SORACA,1.521666667
100,70,81,ARVEJA,2014B,1.16,SAN MIGUEL DE SEMA,1.15
60,60,72,ARVEJA,2014B,1.21,CHIQUINQUIRA,1.118333333
50,50,81,ARVEJA,2014B,1.63,RAMIRIQUI,1.607857143
32,32,36,ARVEJA,2014B,1.12,GUATEQUE,1.1375
30,20,33,ARVEJA,2014B,1.63,SIACHOQUE,1.655357143
25,25,41,ARVEJA,2014B,1.64,FIRAVITOBA,1.62
25,25,44,ARVEJA,2014B,1.76,SUTAMARCHAN,1.699166667
20,20,30,ARVEJA,2014B,1.5,JENESANO,1.486
16,12,17,ARVEJA,2014B,1.38,LA UVITA,1.4
10,10,18,ARVEJA,2014B,1.76,MIRAFLORES,1.8
10,10,18,ARVEJA,2014B,1.79,TINJACA,1.8
9,8,10,ARVEJA,2014B,1.26,MACANAL,1.279583333
8,8,13,ARVEJA,2014B,1.65,TUTA,1.65
7,7,11,ARVEJA,2014B,1.62,PACHAVITA,1.50575
6,6,5,ARVEJA,2014B,0.83,SAN EDUARDO,0.7785
5,5,10,ARVEJA,2014B,1.94,NOBSA,2
4,4,5,ARVEJA,2014B,1.27,SOCOTA,1.3
3,3,3,ARVEJA,2014B,1.16,ZETAQUIRA,1.04
420,420,589,ARVEJA,2015A,1.4,CIENEGA,1.351
180,175,245,ARVEJA,2015A,1.4,TOCA,1.746
51,50,33,ARVEJA,2015A,0.65,RAQUIRA,0.7
48,48,25,ARVEJA,2015A,0.51,SIACHOQUE,0.489285714
40,38,36,ARVEJA,2015A,0.93,SOGAMOSO,0.89825
26,24,13,ARVEJA,2015A,0.56,CUITIVA,0.6
21,20,8,ARVEJA,2015A,0.42,CHIVATA,0.41825
18,18,21,ARVEJA,2015A,1.17,SOTAQUIRA,1.178333333
10,10,5,ARVEJA,2015A,0.47,ARCABUCO,0.5075
10,7,10,ARVEJA,2015A,1.4,TURMEQUE,1.541
6,5,6,ARVEJA,2015A,1.17,CORRALES,1.3
6,6,5,ARVEJA,2015A,0.79,GAMEZA,0.7785
5,5,3,ARVEJA,2015A,0.51,DUITAMA,0.651428571
4,4,3,ARVEJA,2015A,0.84,LA CAPILLA,0.745
420,420,589,ARVEJA,2015B,1.4,CIENEGA,1.351
130,130,121,ARVEJA,2015B,0.93,CUCAITA,1.075
120,110,180,ARVEJA,2015B,1.64,TIBANA,1.572777778
100,100,140,ARVEJA,2015B,1.4,SORACA,1.310357143
90,87,57,ARVEJA,2015B,0.65,SAN MIGUEL DE SEMA,0.673166667
56,56,92,ARVEJA,2015B,1.64,FIRAVITOBA,1.863392857
48,48,25,ARVEJA,2015B,0.51,SIACHOQUE,0.489285714
32,32,24,ARVEJA,2015B,0.75,GUATEQUE,0.729166667
20,20,13,ARVEJA,2015B,0.65,COMBITA,0.65
20,20,14,ARVEJA,2015B,0.7,JENESANO,0.7
15,15,14,ARVEJA,2015B,0.93,SUTAMARCHAN,0.925
9,6,8,ARVEJA,2015B,1.31,CHINAVITA,1.4
6,4,2,ARVEJA,2015B,0.47,BOAVITA,0.55
5,4,5,ARVEJA,2015B,1.17,CORRALES,1.3
4,2,0,ARVEJA,2015B,0.23,CALDAS,0.3425
3,2,2,ARVEJA,2015B,1.17,IZA,1.00875
126,126,176,ARVEJA,2016A,1.4,CIENEGA,1.4
70,60,74,ARVEJA,2016A,1.23,PESCA,1.3825
50,50,26,ARVEJA,2016A,0.53,RAQUIRA,0.59
28,28,39,ARVEJA,2016A,1.4,RONDON,1.395833333
20,20,14,ARVEJA,2016A,0.7,RAMIRIQUI,0.7
15,15,12,ARVEJA,2016A,0.81,MONGUA,0.81125
15,15,8,ARVEJA,2016A,0.5,SAN MIGUEL DE SEMA,0.515
15,10,9,ARVEJA,2016A,0.88,TUTA,0.92375
12,12,12,ARVEJA,2016A,1,ARCABUCO,1
10,7,2,ARVEJA,2016A,0.3,TURMEQUE,0.35375
