area sembrada,area cosechada,produccion,rendimiento,cultivo,municipio,PERIODO
4,4,5,1.25,ARVEJA,VILLA DE LEYVA,2007B
3,3,5,1.75,ARVEJA,TUTA,2007B
2,1,1,1,ARVEJA,BUSBANZA,2007B
2,2,2,0.75,ARVEJA,CHIVOR,2007B
2,2,1,0.4,ARVEJA,SATIVASUR,2007B
2,2,3,1.5,ARVEJA,TIPACOQUE,2007B
1400,1400,2600,1.86,ARVEJA,PESCA,2008A
1274,1076,2260,2.1,ARVEJA,SAMACA,2008A
600,500,940,1.88,ARVEJA,CIENEGA,2008A
309,280,540,1.93,ARVEJA,SIACHOQUE,2008A
180,60,108,1.8,ARVEJA,MONGUI,2008A
180,170,325,1.91,ARVEJA,TOCA,2008A
152,152,274,1.8,ARVEJA,CUCAITA,2008A
150,140,98,0.7,ARVEJA,COMBITA,2008A
113,100,94,0.94,ARVEJA,SABOYA,2008A
100,100,150,1.5,ARVEJA,SORACA,2008A
100,100,140,1.4,ARVEJA,TOTA,2008A
90,90,90,1,ARVEJA,CHIQUINQUIRA,2008A
90,80,140,1.75,ARVEJA,TASCO,2008A
80,80,156,1.95,ARVEJA,RAMIRIQUI,2008A
70,70,133,1.9,ARVEJA,VENTAQUEMADA,2008A
60,60,90,1.5,ARVEJA,BOYACA,2008A
60,50,90,1.8,ARVEJA,CHIQUIZA,2008A
57,57,45,0.8,ARVEJA,CHIVATA,2008A
55,50,82,1.64,ARVEJA,FIRAVITOBA,2008A
53,53,56,1.05,ARVEJA,VIRACACHA,2008A
50,45,56,1.24,ARVEJA,SORA,2008A
50,50,60,1.2,ARVEJA,TUNJA,2008A
45,45,60,1.33,ARVEJA,JENESANO,2008A
36,36,47,1.3,ARVEJA,BUENAVISTA,2008A
35,35,29,0.84,ARVEJA,SOGAMOSO,2008A
33,30,53,1.77,ARVEJA,TINJACA,2008A
30,30,21,0.7,ARVEJA,CHITA,2008A
30,30,15,0.5,ARVEJA,CUITIVA,2008A
30,30,32,1.1,ARVEJA,TENZA,2008A
25,25,50,2,ARVEJA,MOTAVITA,2008A
23,22,23,1.05,ARVEJA,SANTA ROSA DE VITERBO,2008A
21,18,23,1.3,ARVEJA,NUEVO COLON,2008A
20,15,27,1.8,ARVEJA,AQUITANIA,2008A
20,20,18,0.88,ARVEJA,MONGUA,2008A
18,18,36,2,ARVEJA,GARAGOA,2008A
18,18,23,1.3,ARVEJA,TOPAGA,2008A
15,10,16,1.6,ARVEJA,BETEITIVA,2008A
15,15,23,1.53,ARVEJA,OICATA,2008A
15,15,23,1.5,ARVEJA,SANTA SOFIA,2008A
15,12,18,1.5,ARVEJA,SUSACON,2008A
15,14,23,1.64,ARVEJA,UMBITA,2008A
12,12,12,1,ARVEJA,GUATEQUE,2008A
12,12,14,1.18,ARVEJA,SOTAQUIRA,2008A
11,10,7,0.7,ARVEJA,CHINAVITA,2008A
10,10,18,1.8,ARVEJA,BELEN,2008A
10,6,4,0.7,ARVEJA,CALDAS,2008A
10,10,1,0.08,ARVEJA,LABRANZAGRANDE,2008A
10,10,18,1.75,ARVEJA,TUTA,2008A
9,9,10,1.23,ARVEJA,MIRAFLORES,2008A
9,9,1,0.08,ARVEJA,PAYA,2008A
9,9,9,1,ARVEJA,PISBA,2008A
9,7,10,1.43,ARVEJA,SOCHA,2008A
8,3,3,1,ARVEJA,BOAVITA,2008A
8,7,11,1.57,ARVEJA,SOCOTA,2008A
7,7,11,1.5,ARVEJA,FLORESTA,2008A
7,7,9,1.3,ARVEJA,GAMEZA,2008A
6,6,9,1.5,ARVEJA,LA UVITA,2008A
6,4,3,0.7,ARVEJA,SAN MIGUEL DE SEMA,2008A
6,5,6,1.2,ARVEJA,VILLA DE LEYVA,2008A
5,5,8,1.57,ARVEJA,NOBSA,2008A
5,4,7,1.7,ARVEJA,CERINZA,2008A
5,5,5,1,ARVEJA,CHISCAS,2008A
5,5,7,1.4,ARVEJA,GACHANTIVA,2008A
5,5,4,0.8,ARVEJA,GUACAMAYAS,2008A
4,3,3,1,ARVEJA,SUTATENZA,2008A
3,3,2,0.75,ARVEJA,BUSBANZA,2008A
3,3,5,1.8,ARVEJA,PACHAVITA,2008A
3,3,5,1.8,ARVEJA,PAIPA,2008A
3,3,5,1.67,ARVEJA,TIPACOQUE,2008A
3,2,1,0.5,ARVEJA,SATIVASUR,2008A
2,2,1,0.25,ARVEJA,CHIVOR,2008A
2,2,1,0.7,ARVEJA,LA CAPILLA,2008A
2349,2030,4263,2.1,ARVEJA,SAMACA,2008B
400,400,480,1.2,ARVEJA,TUNJA,2008B
220,200,250,1.25,ARVEJA,CIENEGA,2008B
200,200,360,1.8,ARVEJA,CUCAITA,2008B
200,200,380,1.9,ARVEJA,SIACHOQUE,2008B
120,120,208,1.73,ARVEJA,RAMIRIQUI,2008B
120,120,180,1.5,ARVEJA,TOCA,2008B
120,120,126,1.05,ARVEJA,VIRACACHA,2008B
100,100,70,0.7,ARVEJA,COMBITA,2008B
100,80,120,1.5,ARVEJA,MONGUI,2008B
90,90,170,1.89,ARVEJA,TASCO,2008B
80,80,80,1,ARVEJA,CHIQUINQUIRA,2008B
60,60,90,1.5,ARVEJA,BOYACA,2008B
60,60,115,1.92,ARVEJA,VENTAQUEMADA,2008B
50,50,35,0.7,ARVEJA,CALDAS,2008B
50,47,85,1.8,ARVEJA,CHIQUIZA,2008B
50,48,72,1.5,ARVEJA,FIRAVITOBA,2008B
50,40,33,0.83,ARVEJA,SABOYA,2008B
50,45,58,1.29,ARVEJA,SORA,2008B
45,43,43,1,ARVEJA,GUATEQUE,2008B
40,35,50,1.43,ARVEJA,JENESANO,2008B
40,40,56,1.4,ARVEJA,TOTA,2008B
35,35,35,1,ARVEJA,CHIVATA,2008B
35,35,38,1.1,ARVEJA,TENZA,2008B
30,30,15,0.5,ARVEJA,CUITIVA,2008B
30,30,25,0.84,ARVEJA,SOGAMOSO,2008B
30,30,53,1.75,ARVEJA,TUTA,2008B
29,28,50,1.79,ARVEJA,TINJACA,2008B
24,22,19,0.86,ARVEJA,GUACAMAYAS,2008B
21,18,23,1.3,ARVEJA,NUEVO COLON,2008B
20,15,29,1.93,ARVEJA,AQUITANIA,2008B
20,20,18,0.88,ARVEJA,MONGUA,2008B
20,19,19,1,ARVEJA,SUTATENZA,2008B
20,20,32,1.6,ARVEJA,UMBITA,2008B
18,18,36,2,ARVEJA,GARAGOA,2008B
18,18,18,1.05,ARVEJA,SANTA ROSA DE VITERBO,2008B
18,18,27,1.5,ARVEJA,SUSACON,2008B
16,3,5,1.8,ARVEJA,PACHAVITA,2008B
16,16,19,1.2,ARVEJA,SOTAQUIRA,2008B
14,13,9,0.7,ARVEJA,CHINAVITA,2008B
12,12,8,0.7,ARVEJA,LA CAPILLA,2008B
10,10,18,1.8,ARVEJA,BELEN,2008B
10,8,8,1,ARVEJA,BOAVITA,2008B
10,10,13,1.3,ARVEJA,BUENAVISTA,2008B
10,10,7,0.7,ARVEJA,CHITA,2008B
10,10,1,0.08,ARVEJA,LABRANZAGRANDE,2008B
10,10,20,2,ARVEJA,MOTAVITA,2008B
10,10,15,1.5,ARVEJA,OICATA,2008B
10,10,19,1.9,ARVEJA,PESCA,2008B
9,9,12,1.3,ARVEJA,GAMEZA,2008B
9,9,1,0.08,ARVEJA,PAYA,2008B
9,9,9,1,ARVEJA,PISBA,2008B
9,9,14,1.56,ARVEJA,SOCHA,2008B
8,7,9,1.23,ARVEJA,MIRAFLORES,2008B
7,7,7,1,ARVEJA,BETEITIVA,2008B
6,6,10,1.67,ARVEJA,ALMEIDA,2008B
6,6,9,1.5,ARVEJA,LA UVITA,2008B
6,5,4,0.7,ARVEJA,SAN MIGUEL DE SEMA,2008B
5,5,5,1,ARVEJA,CHISCAS,2008B
5,5,8,1.5,ARVEJA,SANTA SOFIA,2008B
5,5,8,1.6,ARVEJA,SOCOTA,2008B
5,5,7,1.3,ARVEJA,TOPAGA,2008B
5,5,7,1.3,ARVEJA,VILLA DE LEYVA,2008B
3,3,3,1,ARVEJA,BUSBANZA,2008B
3,3,5,1.7,ARVEJA,CERINZA,2008B
3,3,5,1.8,ARVEJA,PAIPA,2008B
3,3,5,1.67,ARVEJA,TIPACOQUE,2008B
2,2,1,0.5,ARVEJA,CHIVOR,2008B
1,1,0,0.4,ARVEJA,SATIVASUR,2008B
700,590,826,1.4,ARVEJA,CIENEGA,2009A
600,600,1260,2.1,ARVEJA,SAMACA,2009A
500,500,950,1.9,ARVEJA,PESCA,2009A
240,220,418,1.9,ARVEJA,SIACHOQUE,2009A
200,150,270,1.8,ARVEJA,CUCAITA,2009A
150,150,240,1.6,ARVEJA,TOCA,2009A
130,130,156,1.2,ARVEJA,TUNJA,2009A
120,100,95,0.95,ARVEJA,SABOYA,2009A
108,108,108,1,ARVEJA,ARCABUCO,2009A
80,55,72,1.3,ARVEJA,NUEVO COLON,2009A
80,80,120,1.5,ARVEJA,SORACA,2009A
78,78,78,1,ARVEJA,CHIQUINQUIRA,2009A
60,55,39,0.7,ARVEJA,COMBITA,2009A
60,54,85,1.58,ARVEJA,FIRAVITOBA,2009A
60,60,63,1.05,ARVEJA,VIRACACHA,2009A
50,50,75,1.5,ARVEJA,MOTAVITA,2009A
50,50,70,1.4,ARVEJA,TOTA,2009A
45,40,52,1.3,ARVEJA,SORA,2009A
40,30,54,1.8,ARVEJA,MONGUI,2009A
35,35,29,0.84,ARVEJA,SOGAMOSO,2009A
30,30,21,0.7,ARVEJA,CALDAS,2009A
30,30,21,0.7,ARVEJA,CHITA,2009A
30,29,25,0.88,ARVEJA,MONGUA,2009A
28,28,30,1.1,ARVEJA,TENZA,2009A
25,25,38,1.5,ARVEJA,BOYACA,2009A
25,25,38,1.5,ARVEJA,JENESANO,2009A
25,24,43,1.8,ARVEJA,TINJACA,2009A
25,20,35,1.75,ARVEJA,TUTA,2009A
22,21,22,1.05,ARVEJA,SANTA ROSA DE VITERBO,2009A
20,20,16,0.8,ARVEJA,BOAVITA,2009A
20,15,29,1.9,ARVEJA,CHIQUIZA,2009A
20,20,18,0.9,ARVEJA,CHIVATA,2009A
20,18,31,1.7,ARVEJA,RAQUIRA,2009A
20,18,5,0.3,ARVEJA,SOATA,2009A
19,19,38,2,ARVEJA,GARAGOA,2009A
18,18,18,1,ARVEJA,CHIVOR,2009A
18,15,24,1.6,ARVEJA,SOCHA,2009A
18,18,23,1.3,ARVEJA,TOPAGA,2009A
18,18,34,1.9,ARVEJA,VENTAQUEMADA,2009A
16,16,24,1.5,ARVEJA,SOTAQUIRA,2009A
15,15,11,0.7,ARVEJA,SUTAMARCHAN,2009A
15,14,27,1.9,ARVEJA,TASCO,2009A
13,12,20,1.7,ARVEJA,RAMIRIQUI,2009A
12,11,13,1.23,ARVEJA,MIRAFLORES,2009A
12,12,8,0.7,ARVEJA,SAN MIGUEL DE SEMA,2009A
10,6,11,1.8,ARVEJA,BELEN,2009A
10,9,6,0.7,ARVEJA,CHINAVITA,2009A
10,10,11,1.1,ARVEJA,CUITIVA,2009A
10,10,13,1.3,ARVEJA,GAMEZA,2009A
10,10,15,1.5,ARVEJA,SANTA SOFIA,2009A
10,9,14,1.5,ARVEJA,SUSACON,2009A
10,10,11,1.05,ARVEJA,TIBASOSA,2009A
9,6,6,1,ARVEJA,BETEITIVA,2009A
8,8,12,1.5,ARVEJA,FLORESTA,2009A
8,8,4,0.5,ARVEJA,GACHANTIVA,2009A
7,4,6,1.5,ARVEJA,LA UVITA,2009A
6,6,3,0.5,ARVEJA,GUICAN,2009A
5,5,5,1,ARVEJA,CHISCAS,2009A
5,5,2,0.3,ARVEJA,MACANAL,2009A
5,5,9,1.8,ARVEJA,PAIPA,2009A
5,4,4,1.05,ARVEJA,PAZ DE RIO,2009A
5,4,4,1,ARVEJA,SUTATENZA,2009A
4,4,7,1.7,ARVEJA,CORRALES,2009A
4,1,1,0.9,ARVEJA,GUACAMAYAS,2009A
3,3,3,1,ARVEJA,GUATEQUE,2009A
3,3,4,1.7,ARVEJA,PACHAVITA,2009A
2,2,1,0.7,ARVEJA,LA CAPILLA,2009A
2,2,1,0.5,ARVEJA,LABRANZAGRANDE,2009A
2,2,1,0.5,ARVEJA,SATIVASUR,2009A
2,2,3,1.5,ARVEJA,TIPACOQUE,2009A
1,1,1,1,ARVEJA,BUSBANZA,2009A
1,1,1,1.7,ARVEJA,CERINZA,2009A
680,600,840,1.4,ARVEJA,CIENEGA,2009B
600,600,1260,2.1,ARVEJA,SAMACA,2009B
380,350,665,1.9,ARVEJA,SIACHOQUE,2009B
250,250,300,1.2,ARVEJA,TUNJA,2009B
120,100,100,1,ARVEJA,ARCABUCO,2009B
120,80,88,1.1,ARVEJA,SABOYA,2009B
100,70,126,1.8,ARVEJA,CUCAITA,2009B
80,75,120,1.6,ARVEJA,TOCA,2009B
70,70,105,1.5,ARVEJA,BOYACA,2009B
70,70,70,1,ARVEJA,CHIQUINQUIRA,2009B
70,70,49,0.7,ARVEJA,COMBITA,2009B
55,50,82,1.64,ARVEJA,FIRAVITOBA,2009B
50,40,76,1.9,ARVEJA,CHIQUIZA,2009B
50,45,59,1.3,ARVEJA,SORA,2009B
50,40,76,1.9,ARVEJA,VENTAQUEMADA,2009B
40,40,44,1.1,ARVEJA,CUITIVA,2009B
40,40,60,1.5,ARVEJA,JENESANO,2009B
40,35,46,1.3,ARVEJA,NUEVO COLON,2009B
36,35,35,1,ARVEJA,GUATEQUE,2009B
34,34,37,1.1,ARVEJA,TENZA,2009B
30,30,30,1,ARVEJA,BOAVITA,2009B
30,30,27,0.9,ARVEJA,CHIVATA,2009B
30,28,25,0.88,ARVEJA,MONGUA,2009B
30,20,36,1.8,ARVEJA,MONGUI,2009B
30,30,51,1.7,ARVEJA,RAQUIRA,2009B
30,25,8,0.3,ARVEJA,SOCOTA,2009B
30,30,25,0.84,ARVEJA,SOGAMOSO,2009B
30,30,32,1.05,ARVEJA,VIRACACHA,2009B
20,20,34,1.7,ARVEJA,RAMIRIQUI,2009B
20,20,20,1,ARVEJA,RONDON,2009B
20,19,34,1.8,ARVEJA,TINJACA,2009B
19,19,19,1.05,ARVEJA,SANTA ROSA DE VITERBO,2009B
18,18,36,2,ARVEJA,GARAGOA,2009B
18,12,4,0.3,ARVEJA,SOATA,2009B
17,17,27,1.6,ARVEJA,SOTAQUIRA,2009B
15,5,7,1.3,ARVEJA,PACHAVITA,2009B
15,15,23,1.5,ARVEJA,SUSACON,2009B
15,15,11,0.7,ARVEJA,SUTAMARCHAN,2009B
13,12,8,0.7,ARVEJA,CHINAVITA,2009B
12,12,6,0.5,ARVEJA,GACHANTIVA,2009B
12,10,19,1.9,ARVEJA,TASCO,2009B
10,10,7,0.7,ARVEJA,CALDAS,2009B
10,10,7,0.7,ARVEJA,CHITA,2009B
10,10,7,0.7,ARVEJA,LA CAPILLA,2009B
10,10,12,1.23,ARVEJA,MIRAFLORES,2009B
10,10,11,1.05,ARVEJA,TIBASOSA,2009B
10,10,13,1.3,ARVEJA,TOPAGA,2009B
10,8,14,1.75,ARVEJA,TUTA,2009B
9,9,12,1.3,ARVEJA,GAMEZA,2009B
8,8,14,1.8,ARVEJA,BELEN,2009B
8,8,4,0.5,ARVEJA,LABRANZAGRANDE,2009B
8,8,4,0.5,ARVEJA,PISBA,2009B
7,7,7,1,ARVEJA,BETEITIVA,2009B
