,area sembrada,area cosechada,produccion,rendimiento,cultivo,municipio,PERIODO,pred knn,pred rf,pred rl,pred rlaso
152,100,86,112,1.3,ARVEJA,NUEVO COLON,2007B,2.6420000000000003,1.3913199999999952,-0.3090362548828125,1.9225812815190535
153,100,85,155,1.82,ARVEJA,TASCO,2007B,4.726,17.095799999999993,14.223678588867188,12.294827334802125
154,96,94,94,1.0,ARVEJA,CHIQUINQUIRA,2007B,16.8,15.06044,14.286666870117188,12.1284875933497
155,80,80,56,0.7,ARVEJA,CALDAS,2007B,0.6199999999999999,0.9853600000000002,0.3267059326171875,1.9234088424218019
156,80,70,49,0.7,ARVEJA,COMBITA,2007B,8.644,1.6617599999999983,9.485885620117188,12.057979404435539
157,80,80,104,1.3,ARVEJA,RAMIRIQUI,2007B,0.9279999999999999,1.0061599999999995,-1.6117706298828125,1.9412841579211664
158,70,70,56,0.8,ARVEJA,CHIVATA,2007B,20.942,20.001179999999994,27.017135620117188,22.725073928681645
159,65,65,98,1.5,ARVEJA,BOYACA,2007B,8.76,9.7002,15.483932495117188,12.058475940977187
160,62,60,80,1.33,ARVEJA,FIRAVITOBA,2007B,5.888,1.4471400000000003,2.1147918701171875,1.9396290361156696
161,60,60,84,1.4,ARVEJA,TOTA,2007B,6.840000000000001,1.0425000000000038,-0.3520050048828125,1.9252294764078481
162,53,53,56,1.05,ARVEJA,VIRACACHA,2007B,0.8780000000000001,0.6551800000000007,0.5596160888671875,1.9283742078382922
163,50,45,81,1.8,ARVEJA,MONGUI,2007B,17.1,16.775579999999998,15.603073120117188,12.130970276057946
164,50,40,27,0.66,ARVEJA,SABOYA,2007B,6.56,0.9255999999999994,1.4663543701171875,1.922415769338503
165,50,45,56,1.24,ARVEJA,SORA,2007B,8.264,6.142300000000009,12.587448120117188,12.063937842935328
166,50,50,90,1.8,ARVEJA,VENTAQUEMADA,2007B,4.6979999999999995,15.091919999999998,14.297409057617188,12.180623930222849
167,48,47,47,1.0,ARVEJA,GUATEQUE,2007B,1.172,1.1534199999999992,1.4429168701171875,1.9245674276856493
168,40,40,60,1.5,ARVEJA,JENESANO,2007B,12.18,16.825940000000006,14.216354370117188,12.652664669150527
169,32,30,39,1.3,ARVEJA,BUENAVISTA,2007B,1.714,1.1598799999999994,-0.3678741455078125,1.9257260129494966
170,32,32,35,1.1,ARVEJA,TENZA,2007B,2.0599999999999996,0.7268800000000001,-1.0180206298828125,1.9247329398661988
171,31,30,51,1.7,ARVEJA,TINJACA,2007B,22.702,20.756200000000003,31.126510620117188,18.92027992220568
172,30,30,15,0.5,ARVEJA,CUITIVA,2007B,7.159999999999999,16.039340000000003,11.425338745117188,12.104157302808897
173,30,30,25,0.84,ARVEJA,SOGAMOSO,2007B,6.2,9.919699999999997,10.538619995117188,12.192209782861326
